time,open,high,low,close,Volume,Volume MA
1543968000,3904.8775,3914.7975,3661.3375,3694.325,41365.48517546,56246.101870185885
1544054400,3695.7275,3847.4,3411.9675,3435.64,71815.6159084,58513.05636086587
1544140800,3433.605,3554.34,3209.9275,3379.455,96346.81517067,62769.579511790376
1544227200,3377.86,3487.2225,3250.145,3397.8,35880.80327013,64051.14637142837
1544313600,3398.0475,3638.2475,3368.1225,3532.5225,32111.810346,60748.26205369586
1544400000,3531.07,3591.6675,3354.0575,3409.4375,36946.44046484,55121.95119235387
1544486400,3408.8925,3429.9925,3293.9125,3349.4975,30939.7825535,53209.74170975837
1544572800,3347.8175,3487.89,3324.9975,3431.8775,30118.5808163,53019.49487720536
1544659200,3431.3575,3439.62,3223.0475,3263.2925,42429.55082191,52680.368442199855
1544745600,3263.2975,3298.4525,3135.2525,3195.4475,46329.92135439,52326.82850539686
1544832000,3194.2625,3231.1725,3124.5125,3181.675,23664.66266045,48682.99972752585
1544918400,3181.6825,3261.37,3173.3675,3192.87,19147.58620436,45119.836444866356
1545004800,3193.15,3587.21,3183.1525,3499.5975,64335.80145243,45324.67148330835
1545091200,3499.7375,3686,3431.3875,3667.9625,48996.67740025,43546.51257845985
1545177600,3668.5975,3923.69,3642.43,3683.645,84649.91028473,44979.51116601085
1545264000,3682.785,4175.0175,3658.135,4075.2,89015.31825209,46695.26427295686
1545350400,4074.0825,4162.9825,3771.8325,3839.425,65781.87503003,48667.98578527136
1545436800,3840.2525,4010.69,3787.205,3980.5025,30135.71096924,48826.08613135536
1545523200,3980.645,4054.135,3905.9,3944.385,23967.26804185,47840.22899203936
1545609600,3945.94,4238.61,3944.17,4034.35,52783.66751696,48338.16418469936
1545696000,4034.56,4045.22,3675.5225,3779.115,42734.6931876,48406.62458530636
1545782400,3778.72,3859.09,3683.015,3809.235,31698.79128235,46400.783354003855
1545868800,3808.3425,3841.1625,3566.69,3589.7125,39654.31923015,43566.158556977854
1545955200,3590.2325,3983.8525,3575.54,3888.1825,45741.15233036,44059.17600998936
1546041600,3887.885,3949.0725,3688.3775,3727.34,25991.38716446,43753.15485091235
1546128000,3727.0525,3867.3975,3687.945,3831.0375,22375.26460846,43024.59605809335
1546214400,3831.2325,3838.3,3624.6325,3692.3525,29778.22701439,42966.518281137855
1546300800,3692.905,4006.695,3625.39,3823.3175,24389.96031558,42680.087256101855
1546387200,3825.325,3916.8075,3767.78,3888.3275,25146.11374682,41815.91540234735
1546473600,3889.845,3894.2175,3750.0175,3787.1975,23692.54965896,40684.04681757586
1546560000,3786.3525,3851.6325,3730.8325,3820.7825,23992.35202268,40700.43128568736
